Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
136,,2025-03-18 10:00:00,,,,1.0,1.0,170.0,170.0,4.04,165.96,34.0,170.0,165.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
138,,2025-03-19 10:15:00,,,,-1.0,1.0,150.0,150.0,4.04,145.96,30.0,150.0,145.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
140,,2025-03-20 06:15:00,,,,1.0,1.0,97.5,97.5,4.04,93.46,19.5,97.5,93.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
142,,2025-03-20 10:15:00,,,,1.0,1.0,-143.75,-143.75,4.04,-147.79,-28.75,-143.75,-147.79,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
144,,2025-03-21 08:45:00,,,,1.0,1.0,98.75,98.75,4.04,94.71,19.75,98.75,94.71,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
146,,2025-03-24 10:00:00,,,,-1.0,1.0,128.75,128.75,4.04,124.71,25.75,128.75,124.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
148,,2025-03-25 07:00:00,,,,1.0,1.0,-65.0,-65.0,4.04,-69.04,-13.0,-65.0,-69.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
150,,2025-03-26 10:30:00,,,,1.0,1.0,88.75,88.75,4.04,84.71,17.75,88.75,84.71,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
152,,2025-03-27 09:45:00,,,,1.0,1.0,130.0,130.0,4.04,125.96,26.0,130.0,125.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
154,,2025-03-28 10:15:00,,,,1.0,1.0,162.5,162.5,4.04,158.46,32.5,162.5,158.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
