Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,HoldMins,Session,TradeType,RMultiple,Commission,NetPL
408,,2025-02-14 14:00:00,,,1.0,-57.5,SuperSignal_v6,,Unknown,Unknown,,2.02,-59.52
410,,2025-02-14 14:45:00,,,-1.0,-37.5,SuperSignal_v6,,Unknown,Unknown,,2.02,-39.52
412,,2025-02-16 18:00:00,,,1.0,-8.75,SuperSignal_v6,,Unknown,Unknown,,2.02,-10.77
414,,2025-02-17 05:45:00,,,-1.0,20.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,17.98
416,,2025-02-18 14:15:00,,,1.0,91.25,SuperSignal_v6,,Unknown,Unknown,,2.02,89.23
418,,2025-02-19 14:30:00,,,-1.0,45.0,SuperSignal_v6,,Unknown,Unknown,,2.02,42.98
420,,2025-02-20 07:00:00,,,1.0,20.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,17.98
422,,2025-02-21 03:45:00,,,-1.0,-47.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-49.52
424,,2025-02-21 10:30:00,,,1.0,186.25,SuperSignal_v6,,Unknown,Unknown,,2.02,184.23
426,,2025-02-24 04:00:00,,,-1.0,52.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,50.48
428,,2025-02-24 07:30:00,,,1.0,2.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,0.48
430,,2025-02-24 08:45:00,,,-1.0,23.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,21.73
432,,2025-02-24 09:30:00,,,1.0,57.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,55.48
434,,2025-02-25 04:15:00,,,-1.0,-256.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,-258.27
436,,2025-02-25 04:30:00,,,1.0,18.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,16.73
438,,2025-02-25 06:45:00,,,-1.0,16.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,14.23
440,,2025-02-25 10:15:00,,,1.0,168.75,SuperSignal_v6,,Unknown,Unknown,,2.02,166.73
442,,2025-02-25 15:15:00,,,1.0,-100.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-102.02
444,,2025-02-26 09:15:00,,,1.0,25.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,22.98
446,,2025-02-26 09:30:00,,,-1.0,-20.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-22.02
448,,2025-02-26 16:00:00,,,1.0,40.0,SuperSignal_v6,,Unknown,Unknown,,2.02,37.98
450,,2025-02-27 09:00:00,,,1.0,48.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,46.73
452,,2025-02-27 09:15:00,,,-1.0,62.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,60.48
454,,2025-02-27 09:30:00,,,1.0,13.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,11.73
456,,2025-02-28 03:30:00,,,-1.0,-523.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-525.77
458,,2025-02-28 08:30:00,,,1.0,28.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,26.73
460,,2025-02-28 09:30:00,,,-1.0,-27.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-29.52
462,,2025-03-03 03:30:00,,,1.0,-402.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-404.52
464,,2025-03-03 04:30:00,,,-1.0,55.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,52.98
466,,2025-03-03 08:15:00,,,1.0,-75.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-77.02
468,,2025-03-03 08:30:00,,,-1.0,16.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,14.23
470,,2025-03-03 10:15:00,,,1.0,290.0,SuperSignal_v6,,Unknown,Unknown,,2.02,287.98
