Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
218,,2025-02-25 15:15:00,,,1.0,-100.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-104.04,-100.0,Unknown,Unknown
220,,2025-02-26 11:15:00,,,-1.0,80.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,75.96,80.0,Unknown,Unknown
222,,2025-02-26 12:45:00,,,-1.0,-87.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-91.54,-87.5,Unknown,Unknown
224,,2025-02-26 16:00:00,,,1.0,-131.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-135.29,-131.25,Unknown,Unknown
226,,2025-02-27 10:30:00,,,1.0,-158.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-162.79,-158.75,Unknown,Unknown
228,,2025-02-27 14:30:00,,,1.0,101.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,97.21,101.25,Unknown,Unknown
230,,2025-02-28 13:00:00,,,-1.0,-131.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-135.29,-131.25,Unknown,Unknown
232,,2025-02-28 16:00:00,,,-1.0,153.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,149.71,153.75,Unknown,Unknown
234,,2025-03-03 10:15:00,,,1.0,108.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,104.71,108.75,Unknown,Unknown
236,,2025-03-03 13:15:00,,,1.0,145.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,140.96,145.0,Unknown,Unknown
238,,2025-03-03 15:15:00,,,1.0,162.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,158.46,162.5,Unknown,Unknown
240,,2025-03-04 10:30:00,,,1.0,143.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,139.71,143.75,Unknown,Unknown
242,,2025-03-04 15:30:00,,,-1.0,190.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,185.96,190.0,Unknown,Unknown
244,,2025-03-05 10:15:00,,,1.0,-151.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-155.29,-151.25,Unknown,Unknown
246,,2025-03-05 12:45:00,,,1.0,-167.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-171.54,-167.5,Unknown,Unknown
248,,2025-03-05 15:15:00,,,-1.0,171.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,167.21,171.25,Unknown,Unknown
250,,2025-03-06 12:15:00,,,-1.0,-156.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-160.29,-156.25,Unknown,Unknown
252,,2025-03-06 18:00:00,,,1.0,-82.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-86.54,-82.5,Unknown,Unknown
254,,2025-03-07 12:00:00,,,1.0,178.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,174.71,178.75,Unknown,Unknown
256,,2025-03-09 18:00:00,,,-1.0,13.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,9.71,13.75,Unknown,Unknown
258,,2025-03-10 12:30:00,,,1.0,146.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,142.21,146.25,Unknown,Unknown
260,,2025-03-11 10:45:00,,,1.0,163.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,159.71,163.75,Unknown,Unknown
262,,2025-03-11 13:30:00,,,1.0,230.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,225.96,230.0,Unknown,Unknown
264,,2025-03-12 11:00:00,,,1.0,178.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,174.71,178.75,Unknown,Unknown
266,,2025-03-12 14:45:00,,,1.0,-151.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-155.29,-151.25,Unknown,Unknown
268,,2025-03-13 10:15:00,,,1.0,-118.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-122.79,-118.75,Unknown,Unknown
270,,2025-03-13 11:45:00,,,1.0,158.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,154.71,158.75,Unknown,Unknown
272,,2025-03-13 18:00:00,,,1.0,-53.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-57.79,-53.75,Unknown,Unknown
274,,2025-03-14 10:15:00,,,-1.0,-87.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-91.54,-87.5,Unknown,Unknown
276,,2025-03-14 11:30:00,,,-1.0,137.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,133.46,137.5,Unknown,Unknown
278,,2025-03-14 16:00:00,,,-1.0,105.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,100.96,105.0,Unknown,Unknown
280,,2025-03-17 14:45:00,,,-1.0,108.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,104.71,108.75,Unknown,Unknown
282,,2025-03-18 18:00:00,,,1.0,-6.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-10.29,-6.25,Unknown,Unknown
284,,2025-03-19 12:00:00,,,-1.0,83.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,79.71,83.75,Unknown,Unknown
286,,2025-03-19 15:00:00,,,-1.0,106.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,102.21,106.25,Unknown,Unknown
288,,2025-03-20 10:15:00,,,-1.0,92.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,88.46,92.5,Unknown,Unknown
290,,2025-03-21 11:45:00,,,-1.0,-130.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-134.04,-130.0,Unknown,Unknown
292,,2025-03-21 14:00:00,,,-1.0,123.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,119.71,123.75,Unknown,Unknown
294,,2025-03-23 18:00:00,,,-1.0,72.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,68.46,72.5,Unknown,Unknown
296,,2025-03-24 11:15:00,,,-1.0,60.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,55.96,60.0,Unknown,Unknown
298,,2025-03-24 14:15:00,,,-1.0,-53.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-57.79,-53.75,Unknown,Unknown
300,,2025-03-24 16:00:00,,,-1.0,61.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,57.21,61.25,Unknown,Unknown
302,,2025-03-25 12:45:00,,,-1.0,-77.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-81.54,-77.5,Unknown,Unknown
304,,2025-03-25 16:00:00,,,1.0,-55.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-59.04,-55.0,Unknown,Unknown
306,,2025-03-26 11:30:00,,,1.0,72.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,68.46,72.5,Unknown,Unknown
308,,2025-03-27 10:45:00,,,-1.0,101.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,97.21,101.25,Unknown,Unknown
310,,2025-03-27 16:00:00,,,-1.0,-81.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-85.29,-81.25,Unknown,Unknown
312,,2025-03-28 10:15:00,,,1.0,115.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,110.96,115.0,Unknown,Unknown
314,,2025-03-31 12:00:00,,,-1.0,156.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,152.21,156.25,Unknown,Unknown
316,,2025-03-31 15:30:00,,,-1.0,142.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,138.46,142.5,Unknown,Unknown
318,,2025-04-01 10:45:00,,,1.0,-117.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-121.54,-117.5,Unknown,Unknown
320,,2025-04-01 14:15:00,,,-1.0,-116.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-120.29,-116.25,Unknown,Unknown
322,,2025-04-02 10:45:00,,,-1.0,125.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,120.96,125.0,Unknown,Unknown
324,,2025-04-02 16:15:00,,,-1.0,155.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,150.96,155.0,Unknown,Unknown
326,,2025-04-03 12:45:00,,,1.0,-178.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-182.79,-178.75,Unknown,Unknown
328,,2025-04-03 14:45:00,,,1.0,157.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,153.46,157.5,Unknown,Unknown
330,,2025-04-04 11:00:00,,,1.0,316.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,312.21,316.25,Unknown,Unknown
332,,2025-04-04 13:30:00,,,1.0,396.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,392.21,396.25,Unknown,Unknown
334,,2025-04-04 14:45:00,,,1.0,270.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,265.96,270.0,Unknown,Unknown
336,,2025-04-07 10:15:00,,,-1.0,530.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,525.96,530.0,Unknown,Unknown
338,,2025-04-07 14:30:00,,,-1.0,346.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,342.21,346.25,Unknown,Unknown
340,,2025-04-08 11:00:00,,,-1.0,-241.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-245.29,-241.25,Unknown,Unknown
342,,2025-04-08 12:45:00,,,1.0,231.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,227.21,231.25,Unknown,Unknown
344,,2025-04-09 13:00:00,,,1.0,-425.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-429.04,-425.0,Unknown,Unknown
346,,2025-04-09 13:30:00,,,-1.0,288.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,284.71,288.75,Unknown,Unknown
348,,2025-04-10 12:00:00,,,1.0,377.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,373.46,377.5,Unknown,Unknown
