Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
112,,2025-03-06 18:00:00,,,,1.0,1.0,-161.25,-161.25,4.04,-165.29,-32.25,-161.25,-165.29,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
114,,2025-03-07 14:15:00,,,,1.0,1.0,-320.0,-320.0,4.04,-324.04,-64.0,-320.0,-324.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
116,,2025-03-10 13:15:00,,,,1.0,1.0,190.0,190.0,4.04,185.96,38.0,190.0,185.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
118,,2025-03-10 15:45:00,,,,1.0,1.0,-187.5,-187.5,4.04,-191.54,-37.5,-187.5,-191.54,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
120,,2025-03-11 14:30:00,,,,1.0,1.0,-166.25,-166.25,4.04,-170.29,-33.25,-166.25,-170.29,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
122,,2025-03-13 18:00:00,,,,1.0,1.0,-53.75,-53.75,4.04,-57.79,-10.75,-53.75,-57.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
124,,2025-03-16 18:00:00,,,,-1.0,1.0,78.75,78.75,4.04,74.71,15.75,78.75,74.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
126,,2025-03-17 18:00:00,,,,-1.0,1.0,-71.25,-71.25,4.04,-75.29,-14.25,-71.25,-75.29,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
128,,2025-03-19 15:00:00,,,,-1.0,1.0,143.75,143.75,4.04,139.71,28.75,143.75,139.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
130,,2025-03-23 18:00:00,,,,-1.0,1.0,163.75,163.75,4.04,159.71,32.75,163.75,159.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
132,,2025-03-24 18:00:00,,,,-1.0,1.0,26.25,26.25,4.04,22.21,5.25,26.25,22.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
134,,2025-03-25 12:45:00,,,,-1.0,1.0,-98.75,-98.75,4.04,-102.79,-19.75,-98.75,-102.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
136,,2025-03-25 16:00:00,,,,1.0,1.0,-80.0,-80.0,4.04,-84.04,-16.0,-80.0,-84.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
138,,2025-03-26 18:00:00,,,,1.0,1.0,10.0,10.0,4.04,5.96,2.0,10.0,5.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
140,,2025-03-27 18:00:00,,,,-1.0,1.0,-68.75,-68.75,4.04,-72.79,-13.75,-68.75,-72.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
142,,2025-03-31 15:45:00,,,,-1.0,1.0,431.25,431.25,4.04,427.21,86.25,431.25,427.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
144,,2025-04-01 18:00:00,,,,-1.0,1.0,52.5,52.5,4.04,48.46,10.5,52.5,48.46,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
146,,2025-04-02 14:30:00,,,,-1.0,1.0,72.5,72.5,4.04,68.46,14.5,72.5,68.46,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
148,,2025-04-03 15:45:00,,,,1.0,1.0,200.0,200.0,4.04,195.96,40.0,200.0,195.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
150,,2025-04-04 14:45:00,,,,1.0,1.0,425.0,425.0,4.04,420.96,85.0,425.0,420.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
152,,2025-04-06 18:00:00,,,,1.0,1.0,167.5,167.5,4.04,163.46,33.5,167.5,163.46,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
154,,2025-04-07 18:00:00,,,,-1.0,1.0,72.5,72.5,4.04,68.46,14.5,72.5,68.46,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
156,,2025-04-08 16:00:00,,,,1.0,1.0,1297.5,1297.5,4.04,1293.46,259.5,1297.5,1293.46,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
