Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
254,,2025-06-08 18:00:00,,,-1.0,75.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,70.96,75.0,Unknown,Unknown
256,,2025-06-09 13:00:00,,,-1.0,61.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,57.21,61.25,Unknown,Unknown
258,,2025-06-10 13:15:00,,,-1.0,93.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,89.71,93.75,Unknown,Unknown
260,,2025-06-11 08:45:00,,,-1.0,103.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,99.71,103.75,Unknown,Unknown
262,,2025-06-12 10:00:00,,,1.0,-130.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-134.04,-130.0,Unknown,Unknown
264,,2025-06-13 11:30:00,,,-1.0,155.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,150.96,155.0,Unknown,Unknown
266,,2025-06-16 10:00:00,,,-1.0,97.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,93.46,97.5,Unknown,Unknown
268,,2025-06-18 10:15:00,,,1.0,-130.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-134.04,-130.0,Unknown,Unknown
270,,2025-06-19 10:00:00,,,1.0,120.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,115.96,120.0,Unknown,Unknown
272,,2025-06-20 09:30:00,,,-1.0,160.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,155.96,160.0,Unknown,Unknown
274,,2025-06-25 13:15:00,,,-1.0,-65.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-69.04,-65.0,Unknown,Unknown
