Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
934,,2025-06-03 05:45:00,,,-1.0,132.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,128.46,132.5,Unknown,Unknown
936,,2025-06-03 06:15:00,,,1.0,18.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,14.71,18.75,Unknown,Unknown
938,,2025-06-03 06:45:00,,,-1.0,28.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,24.71,28.75,Unknown,Unknown
940,,2025-06-03 09:30:00,,,1.0,-86.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-90.29,-86.25,Unknown,Unknown
942,,2025-06-04 03:30:00,,,-1.0,195.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,190.96,195.0,Unknown,Unknown
944,,2025-06-04 08:30:00,,,1.0,18.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,14.71,18.75,Unknown,Unknown
946,,2025-06-05 03:30:00,,,-1.0,60.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,55.96,60.0,Unknown,Unknown
948,,2025-06-05 05:15:00,,,1.0,32.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,28.46,32.5,Unknown,Unknown
950,,2025-06-05 05:45:00,,,-1.0,13.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,9.71,13.75,Unknown,Unknown
952,,2025-06-05 07:15:00,,,1.0,43.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,39.71,43.75,Unknown,Unknown
954,,2025-06-05 09:00:00,,,-1.0,70.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,65.96,70.0,Unknown,Unknown
956,,2025-06-05 09:30:00,,,1.0,-13.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-17.79,-13.75,Unknown,Unknown
958,,2025-06-06 03:45:00,,,-1.0,-117.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-121.54,-117.5,Unknown,Unknown
960,,2025-06-10 03:15:00,,,1.0,-178.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-182.79,-178.75,Unknown,Unknown
962,,2025-06-10 04:00:00,,,-1.0,-10.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-14.04,-10.0,Unknown,Unknown
964,,2025-06-10 04:15:00,,,1.0,37.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,33.46,37.5,Unknown,Unknown
966,,2025-06-10 04:45:00,,,-1.0,53.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,49.71,53.75,Unknown,Unknown
968,,2025-06-11 03:30:00,,,1.0,-93.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-97.79,-93.75,Unknown,Unknown
970,,2025-06-11 04:00:00,,,-1.0,31.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,27.21,31.25,Unknown,Unknown
972,,2025-06-11 08:45:00,,,1.0,-148.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-152.79,-148.75,Unknown,Unknown
974,,2025-06-11 09:00:00,,,-1.0,-18.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-22.79,-18.75,Unknown,Unknown
976,,2025-06-11 09:15:00,,,1.0,15.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,10.96,15.0,Unknown,Unknown
978,,2025-06-12 08:45:00,,,-1.0,-218.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-222.79,-218.75,Unknown,Unknown
980,,2025-06-12 09:30:00,,,1.0,-6.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-10.29,-6.25,Unknown,Unknown
982,,2025-06-13 03:15:00,,,-1.0,-207.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-211.54,-207.5,Unknown,Unknown
984,,2025-06-13 09:30:00,,,1.0,-120.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-124.04,-120.0,Unknown,Unknown
986,,2025-06-16 03:15:00,,,-1.0,341.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,337.21,341.25,Unknown,Unknown
988,,2025-06-16 05:45:00,,,1.0,47.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,43.46,47.5,Unknown,Unknown
990,,2025-06-16 06:15:00,,,-1.0,21.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,17.21,21.25,Unknown,Unknown
992,,2025-06-17 03:15:00,,,1.0,0.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-4.04,0.0,Unknown,Unknown
994,,2025-06-17 07:15:00,,,-1.0,3.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-0.29000000000000004,3.75,Unknown,Unknown
996,,2025-06-17 09:30:00,,,1.0,-23.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-27.79,-23.75,Unknown,Unknown
998,,2025-06-18 03:15:00,,,-1.0,-65.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-69.04,-65.0,Unknown,Unknown
1000,,2025-06-18 07:00:00,,,1.0,80.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,75.96,80.0,Unknown,Unknown
1002,,2025-06-18 07:45:00,,,-1.0,56.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,52.21,56.25,Unknown,Unknown
1004,,2025-06-18 08:45:00,,,1.0,15.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,10.96,15.0,Unknown,Unknown
1006,,2025-06-18 09:30:00,,,-1.0,6.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,2.21,6.25,Unknown,Unknown
1008,,2025-06-19 03:15:00,,,1.0,156.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,152.21,156.25,Unknown,Unknown
1010,,2025-06-19 03:30:00,,,-1.0,-33.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-37.79,-33.75,Unknown,Unknown
1012,,2025-06-19 03:45:00,,,1.0,10.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,5.96,10.0,Unknown,Unknown
1014,,2025-06-20 03:30:00,,,-1.0,96.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,92.21,96.25,Unknown,Unknown
1016,,2025-06-20 04:45:00,,,1.0,23.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,19.71,23.75,Unknown,Unknown
1018,,2025-06-20 07:45:00,,,-1.0,102.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,98.46,102.5,Unknown,Unknown
1020,,2025-06-23 07:15:00,,,1.0,122.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,118.46,122.5,Unknown,Unknown
1022,,2025-06-23 08:15:00,,,-1.0,7.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,3.46,7.5,Unknown,Unknown
1024,,2025-06-23 08:30:00,,,1.0,11.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,7.21,11.25,Unknown,Unknown
1026,,2025-06-23 09:00:00,,,-1.0,58.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,54.71,58.75,Unknown,Unknown
1028,,2025-06-24 07:00:00,,,1.0,-481.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-485.29,-481.25,Unknown,Unknown
1030,,2025-06-24 09:30:00,,,-1.0,-23.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-27.79,-23.75,Unknown,Unknown
1032,,2025-06-25 04:30:00,,,1.0,-131.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-135.29,-131.25,Unknown,Unknown
1034,,2025-06-25 07:45:00,,,-1.0,35.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,30.96,35.0,Unknown,Unknown
1036,,2025-06-27 09:15:00,,,1.0,-267.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-271.54,-267.5,Unknown,Unknown
1038,,2025-06-27 09:30:00,,,-1.0,-5.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-9.04,-5.0,Unknown,Unknown
