Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
772,,2025-04-29 04:15:00,,,,1.0,1.0,-78.75,-78.75,4.04,-82.79,-15.75,-78.75,-82.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(55.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
774,,2025-04-29 04:30:00,,,,-1.0,1.0,33.75,33.75,4.04,29.71,6.75,33.75,29.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
776,,2025-04-29 06:45:00,,,,1.0,1.0,65.0,65.0,4.04,60.96,13.0,65.0,60.96,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(75.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
778,,2025-04-30 03:15:00,,,,-1.0,1.0,123.75,123.75,4.04,119.71,24.75,123.75,119.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
780,,2025-04-30 06:45:00,,,,1.0,1.0,41.25,41.25,4.04,37.21,8.25,41.25,37.21,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(58.75)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
782,,2025-05-01 03:30:00,,,,-1.0,1.0,397.5,397.5,4.04,393.46,79.5,397.5,393.46,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
784,,2025-05-01 09:00:00,,,,1.0,1.0,38.75,38.75,4.04,34.71,7.75,38.75,34.71,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(80.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
786,,2025-05-01 09:30:00,,,,-1.0,1.0,27.5,27.5,4.04,23.46,5.5,27.5,23.46,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
788,,2025-05-02 03:45:00,,,,1.0,1.0,-38.75,-38.75,4.04,-42.79,-7.75,-38.75,-42.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
790,,2025-05-02 08:45:00,,,,-1.0,1.0,100.0,100.0,4.04,95.96,20.0,100.0,95.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
792,,2025-05-05 04:45:00,,,,1.0,1.0,37.5,37.5,4.04,33.46,7.5,37.5,33.46,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
794,,2025-05-06 09:30:00,,,,-1.0,1.0,-242.5,-242.5,4.04,-246.54,-48.5,-242.5,-246.54,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
796,,2025-05-07 04:15:00,,,,1.0,1.0,-191.25,-191.25,4.04,-195.29,-38.25,-191.25,-195.29,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
798,,2025-05-07 05:00:00,,,,-1.0,1.0,25.0,25.0,4.04,20.96,5.0,25.0,20.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
800,,2025-05-07 08:15:00,,,,1.0,1.0,78.75,78.75,4.04,74.71,15.75,78.75,74.71,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(101.25)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
802,,2025-05-08 03:15:00,,,,-1.0,1.0,248.75,248.75,4.04,244.71,49.75,248.75,244.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
804,,2025-05-08 07:45:00,,,,1.0,1.0,-37.5,-37.5,4.04,-41.54,-7.5,-37.5,-41.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(76.25)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
806,,2025-05-08 09:30:00,,,,-1.0,1.0,-63.75,-63.75,4.04,-67.79,-12.75,-63.75,-67.79,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
808,,2025-05-09 04:15:00,,,,1.0,1.0,16.25,16.25,4.04,12.21,3.25,16.25,12.21,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(52.50)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
810,,2025-05-09 06:00:00,,,,-1.0,1.0,35.0,35.0,4.04,30.96,7.0,35.0,30.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
812,,2025-05-09 07:30:00,,,,1.0,1.0,-3.75,-3.75,4.04,-7.79,-0.75,-3.75,-7.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(56.25)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
814,,2025-05-09 08:45:00,,,,-1.0,1.0,57.5,57.5,4.04,53.46,11.5,57.5,53.46,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
816,,2025-05-12 03:45:00,,,,1.0,1.0,-631.25,-631.25,4.04,-635.29,-126.25,-631.25,-635.29,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(96.25)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
818,,2025-05-12 04:15:00,,,,-1.0,1.0,-45.0,-45.0,4.04,-49.04,-9.0,-45.0,-49.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
